电影名称,评分,类型,制片国家/地区,时间,票房
冰雪大作战 Snowtime!,6.0,喜剧 / 动画 / 家庭,加拿大,2017年4月1日,4285万
乐高蝙蝠侠大电影 The Lego Batman Movie,8.0,喜剧 / 动作 / 动画 / 冒险,美国/丹麦/澳大利亚,2017年3月3日,4192万
大耳朵图图之美食狂想曲,6.1,喜剧 / 动画 / 冒险,中国大陆,2017年7月28日,4129万
钢铁飞龙之再见奥特曼,2.6,动作 / 科幻 / 动画,中国大陆,2017年10月1日,4029万
李雷和韩梅梅,3.7,剧情 / 喜剧 / 爱情,中国大陆,2017年6月9日,4008万
毒。诫 毒。誡,4.9,剧情 / 动作 / 犯罪,中国大陆/中国香港,2017年5月12日,3949万
了不起的菲丽西 Ballerina,6.5,喜剧 / 动画 / 冒险 / 歌舞,法国/加拿大,2017年2月1日,3913万
鲨海 47 Meters Down,5.6,惊悚 / 冒险,英国,2017年12月8日,3862万
有完没完,5.3,剧情 / 喜剧,中国大陆,2017年4月1日,3724万
至暗时刻 Darkest Hour,8.5,剧情 / 传记 / 历史 / 战争,英国/美国,2017年12月1日,3672万
黑白迷宫,4.7,剧情 / 动作 / 犯罪,中国大陆/中国香港,2017年8月31日,3238万
麻烦家族,4.5,喜剧 / 家庭,中国大陆,2017年5月11日,3176万
英雄本色,8.6,剧情 / 动作 / 犯罪,中国香港,2017年11月17日,3166万
青禾男高,3.9,剧情,中国大陆/中国台湾,2017年7月12日,3017万
阿唐奇遇,7.0,动画 / 奇幻 / 冒险,中国大陆,2017年7月21日,2993万
超凡战队 Power Rangers,4.5,动作 / 科幻 / 冒险,美国/中国香港/加拿大,2017年5月12日,2938万
玩偶奇兵,4.7,动画 / 奇幻 / 冒险,中国大陆,2017年8月4日,2906万
最终幻想15：王者之剑 Kingsglaive Final Fantasy XV,7.2,剧情 / 科幻 / 动画 / 奇幻 / 冒险,日本/美国,2017年3月10日,2871万
烽火芳菲,5.7,剧情 / 爱情 / 战争,中国大陆/丹麦,2017年11月10日,2746万
暴雪将至,7.0,剧情 / 犯罪 / 悬疑,中国大陆,2017年11月17日,2671万
“吃吃”的爱,5.2,喜剧 / 爱情 / 奇幻,中国大陆/中国香港/中国台湾,2017年5月27日,2631万
二次初恋,4.2,喜剧 / 爱情 / 奇幻,中国大陆,2017年8月31日,2565万
精灵宝可梦：波尔凯尼恩与机巧的玛机雅娜 ポケモン・ザ・ムービーXY&amp;Z ボルケニオンと機巧のマギアナ,6.1,动画 / 奇幻 / 冒险,日本,2017年11月11日,2445万
重返·狼群,8.3,纪录片,中国大陆,2017年6月16日,2370万
天生不对,4.0,喜剧 / 爱情,中国大陆,2017年11月10日,2300万
红海行动,8.2,动作 / 战争,中国大陆/中国香港,2018年2月16日,36.4725亿
唐人街探案2,6.6,喜剧 / 动作 / 悬疑,中国大陆,2018年2月16日,33.9654亿
我不是药神,9.0,剧情 / 喜剧,中国大陆,2018年7月5日,30.963亿
西虹市首富,6.6,喜剧,中国大陆,2018年7月27日,25.4441亿
复仇者联盟3：无限战争 Avengers: Infinity War,8.1,动作 / 科幻 / 奇幻 / 冒险,美国,2018年5月11日,23.903亿
捉妖记2,4.9,喜剧 / 动作 / 奇幻 / 古装,中国大陆/中国香港,2018年2月16日,22.3415亿
